,prdName
0,삼다수 그린(무라벨) 2L*6
1,동서식품 맥심 모카골드 커피믹스 230T+30T (3.12KG)
2,CP 롯데칠성 아이시스 평화공원 산림수 2L*6
3,롯데칠성 아이시스 8.0 300ML*20
4,트룽 G7 블랙커피 100T 200G
5,동서식품 맥심 화이트골드 커피믹스 230T+30T (3.042KG)
6,코카콜라 215ML*6
7,돈시몬 착즙주스 오렌지 1L
8,코카콜라 제로 1.5L*2
9,동서식품 맥심카페 카라멜향 마키아또 10T (130G)
10,CP) 삼다수 2L*6
11,동서식품 맥심 TOP 마스터 라떼 380ML
12,카누 미니 마일드 로스트 150T 135G
13,코카콜라제로 215ML*6
14,롯데칠성 칠성사이다 190ML*6
15,코카콜라 미닛메이드 오리지널 오렌지 1.5L
16,농심 백산수 무라벨 2L*6
17,롯데 펩시 제로 아이브 굿즈 패키지 500ML*8
18,농심 백산수 무라벨 500ML*20
19,코카콜라 스프라이트 제로 1.5L
20,동서식품 맥심 모카골드 커피믹스 230T (2760G)
21,코카콜라 1.5L + 환타오렌지 1.5L 
22,롯데칠성 트레비 라임 300ML*20
23,코카_월드컵(컨투어컵+코카콜라)_300ML*8
24,롯데칠성 델몬트 오렌지드링크 190ML*4
25,롯데칠성 펩시콜라 제로슈거 190ML*6
26,롯데칠성칠성 델몬트 포도드링크 190ML*4
27,동서식품 맥심 화이트골드 커피믹스 230T 2691G
28,롯데칠성 델몬트 망고드링크 190ML*4
29,연세 검은콩 두유 1L
30,동서식품 맥심 TOP 스위트 아메리카노 380ML
31,동서식품 미떼 핫초코 오리지날 10T (300G)
32,가야농장 정성담은 알로에 1L
33,코카콜라 콜라 1.5L+스프라이트 1.5L 기획팩 
34,롯데칠성 핑크퐁/브레드이발소  키즈홍삼 사과당근 100ML(10입박스)
35,롯데칠성 칠성사이다 1.25L
36,롯데칠성 델몬트 사과드링크 190ML*4
37,연세 고소한 두유 1L
38,롯데칠성  팜앤홈 제주감귤 1.2L
39,롯데칠성 펩시콜라 1.25L
40,롯데칠성 펩시제로 1.5L*2
41,롯데칠성 제로사이다 1.5*2입
42,녹차원 호두 아몬드 율무차 30T (540G)
