,prdName
0,큰 부사 사과(개)
1,제주 황금향 1.5KG(박스)
2,홍시 4-6입*2팩(기획상품)
3,프리미엄 envy청포도(미국) 800G(팩)/엔비포도 
4,제스프리 썬 골드키위 8-10입(팩)
5,제스프리 골드 키위(뉴질랜드) 특대(개)
6,내맘대로 잘라먹는 통 파인애플 540G(통)
7,DOLE 2990원 바나나(필리핀)송이
8,샤인 머스캣 1.3kg 박스 
9,제주 타이벡 밀감 3KG(박스)
10,제주 하우스 밀감 1.2KG(팩)
11,제주 밀감 5KG(박스)
12,유명산지 햇 사과 4-7입(봉)
13,완숙토마토 1.2KG(팩)
14,방울토마토 750G(팩)
15,제스프리 그린키위 14-21입(팩)
16,단감 1.5KG(봉)
17,단감(특대)개
18,대봉시 4입(팩)
19,햇 신고배(개)
20,영암 무화과 12-24입(박스)
21,아보카도(페루) 4-7입_팩
22,아보카도(멕시코) 4-7입(팩)
23,고당도 머루포도 2.5KG(박스)
24,큰 샤인머스캣(송이) 개
25,저탄소배 3입(팩)
26,배 4입(봉)
27,맛이예쁜 배(봉)
28,청도반시 (7-9입내/박스)
29,씨없는 혼합 포도(미국산) 1.2KG(팩)
30,프리미엄 사파이어 블랙포도(미국) 800G(팩)
31,씨없는 적포도(미국) 900G(팩)
32,프리미엄 캔디하트 적포도(미국) 800G(팩)
33,고당도 레드키위 9-13입(팩)
34,스낵 토마토 800G(박스)
35,네이블 오렌지(호주산) 8-10입 봉
36,네이블 오렌지(호주) 특(개)
37,레몬(칠레)개
38,당도 선별 사과 3kg(봉)
39,프리미엄 고당도 사과 1.2KG(봉)
40,엔비(envy) 사과 4-6입(봉)
41,황금 사과 4-6입(봉)
42,감홍사과 4-6입(봉)
43,Dole 자몽(남아공) 개(특)
44,새벽 이슬 딸기 500G(팩)
45,파프리카 토마토 750G(팩)
46,맛난이 토마토 2KG(팩)
47,달달한 단마토(엠버) 500G(팩)
48,강원맑은청 깜빠리 토마토 700G(팩)
49,레인보우 스낵 토마토 500G(팩)
50,레드 썬 토마토 600G(팩)
51,달콤한 단마토(레드) 500G(팩)
52,강원맑은청 흑토마토 700G(팩)
53,메론 2입(봉)
54,블랙보스 수박(통)
55,항공직송 블루베리(칠레) 310G(팩)
56,유레카 블루베리(칠레) 125G(팩)
57,알큰 블루베리(칠레산) 125G(팩)
58,Dole 용과(베트남) 4입(팩)
