,prdName
0,양파 중(망)
1,창녕 깐마늘 1KG(봉)
2,해풍맞은 남해 시금치(단)
3,무(국산/개)
4,애호박(국산/개)
5,알배기(통)
6,다다기오이 5입(봉)
7,새벽 양상추(통/국산)
8,양파 3KG(망)
9,팽이버섯 350G(봉)
10,농협 창녕 깐마늘 500G(봉)
11,청양고추 대(봉)
12,맛난이 당근 700G(봉)
13,감자 3KG(박스)
14,깐 마늘 300G (봉)
15,맛난이 가지 3입(봉)
16,맛난이 밤고구마 700G(봉)
17,친환경 양파 800G(망)
18,친환경 뿌리손질 새송이버섯(팩)
19,양파(국산/개)
20,배추 (통/국산)
21,해남 땅끝 호박고구마 2KG(박스)
22,친환경 절단 대파 200g 내외(봉)
23,하트 로메인 (봉)
24,샐러드 레터스 200G 내외(봉)
25,아삭한 퍼플믹스 샐러드 250G(팩)
26,단단 파프리카 (국산/개)
27,가지 5입 (봉)
28,친환경 손질 쌈배추 200G(봉)
29,꽈리고추 대(봉)
30,쌈밥집 쌈채소(팩)
31,친환경 무(개)
32,미니 로메인(봉)
33,오이맛 고추 대(봉)
34,버터헤드 레터스(봉)
35,부드런 그린믹스 샐러드 250G(팩)
36,아삭한 그린믹스 샐러드 250G(팩)
37,카이피라(봉)
38,미니 단호박 2KG 박스
39,여주 해뜨온 고구마 2KG(박스)
40,부드런 레인보우 샐러드 250G(팩)
41,친환경 해송이 버섯 150G(팩)
42,친환경 노루궁뎅이 버섯 4-5입(팩)
43,땅콩 단호박(개)
44,이자트릭스(봉)
45,프릴아이스(봉)
46,스탠포드(봉)
47,만차량 단호박(낱개/국산)
